baitID	preyID	N
234583	234586	297
608973	608977	247
608973	608971	244
608973	608976	243
234583	234581	217
188056	188054	203
252022	252026	194
234583	234585	185
252022	252025	180
577412	577411	180
252022	252024	170
608973	608974	169
608973	608978	162
608973	608975	146
234583	234584	141
158037	158041	140
465996	465999	139
158037	158036	128
465996	465998	128
777254	777251	123
234583	234580	122
777254	777256	118
96744	96746	116
754400	754402	112
116442	116441	110
608973	608970	108
116442	116440	107
465996	465994	106
777250	777254	106
96744	96742	105
116442	116444	105
158037	158038	103
465996	465997	101
234583	234579	99
608973	608979	95
116442	116443	93
754400	754403	91
436209	436210	90
252022	252023	88
608973	608980	86
234583	234587	85
608973	608972	85
613959	613961	82
67868	67870	81
67868	67869	81
116442	116445	80
96744	96745	79
255348	255350	78
234583	234649	75
777250	777252	75
96744	96747	74
234583	234648	74
234583	234578	73
96744	96738	72
754400	754398	72
777254	777252	71
116442	116438	70
465996	465993	68
777250	777253	68
234583	234582	67
234583	234588	67
608973	608981	65
608973	608983	65
777250	777251	63
754400	754401	62
234583	234573	61
234583	234576	61
234583	234597	61
234583	234577	61
465996	465995	61
96744	96753	60
116442	116439	60
96744	96743	59
608973	608937	59
96744	96749	58
122846	122848	57
234583	234592	57
465996	465992	57
116442	116449	56
52174	52173	55
777254	777259	54
777254	777257	54
96744	96755	53
96744	96737	53
754400	754396	53
52174	52176	52
234583	234575	52
96744	96741	51
122846	122850	51
234583	234593	51
234583	234590	51
280227	280226	51
754400	754407	51
777254	777253	51
234583	234646	50
234583	234589	50
96744	96803	49
252022	252029	49
465996	465991	49
465996	466000	49
608973	608982	49
234583	234600	48
754400	754397	48
754400	754405	48
116442	116435	47
234583	234647	47
52174	52175	46
96744	96758	46
234583	234574	46
96744	96754	45
234583	234654	45
234583	234650	45
252022	252027	45
436209	436207	45
52174	52172	44
96744	96751	44
96744	96762	44
96744	96769	44
96744	96748	44
280227	280225	44
465996	465990	44
52174	52180	43
234583	234571	43
234583	234651	43
234583	234596	43
67868	67872	42
67868	67876	42
252022	252030	42
67868	67873	41
96744	96756	41
