GeneID	GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000062478	Ctrc	6802.02333666974	7.70061947347498	0.642116536068345	11.9925574890589	3.88715197089019e-33	4.43601782917989e-29
ENSMUSG00000058119	Gm5771	4105.49923619738	7.62661423507802	0.721773195780561	10.5664968991128	4.26115435423606e-26	2.43141467452709e-22
ENSMUSG00000071519	Prss3	7420.82109481536	6.97814323839153	0.690690634956102	10.1031386343251	5.3501887527058e-24	2.03521180152929e-20
ENSMUSG00000062751	Prss1	1152.35244606536	8.54124697512225	0.862505708577682	9.90282950034872	4.04661103014123e-23	1.15449812689929e-19
ENSMUSG00000036938	Try5	127314.2223523	5.76857267422138	0.585544234685379	9.85164285209111	6.74325999483152e-23	1.53908166122035e-19
ENSMUSG00000023140	Reg2	1913.65193331138	5.23167327637122	0.583176441813068	8.97099557057929	2.93846276150637e-19	5.58895617238512e-16
ENSMUSG00000071521	Try10	3505.56876507007	5.7241715615753	0.640178764344799	8.94152052580781	3.83851787091864e-19	5.84208017052193e-16
ENSMUSG00000035896	Rnase1	49951.3099908866	5.25584313793572	0.58827299953081	8.93436064909937	4.09539444130524e-19	5.84208017052193e-16
ENSMUSG00000071553	Cpa2	43307.1212042704	5.30949826883272	0.598581056535374	8.87014082865308	7.30534568013253e-19	9.26317832240804e-16
ENSMUSG00000005640	Insrr	686.320072047963	-5.6715044804205	0.642706794816234	-8.82440410800718	1.10044179560814e-18	1.25582417714801e-15
ENSMUSG00000071517	Gm10334	880.663703034548	7.7886724013967	0.885369282753551	8.79708902614451	1.40410913314782e-18	1.45669940249845e-15
ENSMUSG00000042179	Pnliprp1	97080.5104862523	4.99672819864598	0.570700671517683	8.75542722835426	2.03331788635957e-18	1.93368530992796e-15
ENSMUSG00000031896	Ctrl	83310.7386503064	5.03452446110828	0.575777224189976	8.74387566856441	2.25247318658191e-18	1.97732492348252e-15
ENSMUSG00000024503	Spink1	3089.69646927067	5.19298088062505	0.59647549514528	8.70610934211174	3.14483477160373e-18	2.56348960096727e-15
ENSMUSG00000084174	Sycn	22920.6884814643	5.0666493161152	0.584606462401835	8.66676925756013	4.44554619380356e-18	3.38217154424574e-15
ENSMUSG00000023433	Cela3b	93946.6666677442	4.8688009678496	0.562594614328493	8.65419050209172	4.96422332869068e-18	3.54073228918863e-15
ENSMUSG00000063903	Klk1	20829.2977635556	4.99815687230436	0.57932248238152	8.6275900285409	6.26582114070249e-18	4.20620887398216e-15
ENSMUSG00000024225	Clps	57892.4973925096	5.19942963219826	0.605491068699479	8.58712853249182	8.91698598549092e-18	5.65336911480124e-15
ENSMUSG00000029882	2210010C04Rik	123845.824110733	5.03090983243637	0.592941790416416	8.48466057503423	2.16349318627998e-17	1.29946232851722e-14
ENSMUSG00000071356	Reg3b	722.127765823286	5.13374718997717	0.611694597296062	8.39266394156563	4.75248616861825e-17	2.71176860781357e-14
ENSMUSG00000031957	Ctrb1	413838.82089174	4.81639936139712	0.57596327658889	8.36233759541403	6.14875952494862e-17	3.34141160470065e-14
ENSMUSG00000057163	Prss2	157185.611225531	4.95414602141329	0.594158519981523	8.3380879930281	7.55013832784269e-17	3.91646266351549e-14
ENSMUSG00000049350	Zg16	28204.0472087601	4.84135793829343	0.588979230878482	8.21991283304231	2.03651144884274e-16	1.01046385453014e-13
ENSMUSG00000114985	1810028F09Rik	1508.19307517796	5.01708625426707	0.611093550058643	8.21001343212608	2.21163753449003e-16	1.05163364765001e-13
ENSMUSG00000023031	Cela1	223173.166832445	4.96535898529186	0.605782533653943	8.19660308682382	2.47275231579106e-16	1.1287619771123e-13
ENSMUSG00000025091	Pnliprp2	14305.0663172081	4.85693172986862	0.593000043877201	8.19044075968803	2.60271254940565e-16	1.14239060053143e-13
ENSMUSG00000011463	Cpb1	141998.261886782	4.95830074930549	0.60816193696963	8.15292843549512	3.55215835924421e-16	1.50137893317389e-13
ENSMUSG00000054106	Try4	168541.357025342	4.99069570682944	0.6136594033478	8.13268024510477	4.19901172364534e-16	1.71139720679431e-13
ENSMUSG00000024184	Pdia2	6189.28353080726	4.70005240213076	0.584952631668059	8.03492821073055	9.36337101174025e-16	3.68464793055103e-13
ENSMUSG00000046008	Pnlip	197419.317052584	4.62362828724497	0.58023152572397	7.96859198830321	1.60492381978724e-15	6.10513021047068e-13
ENSMUSG00000068341	Reg3d	664.462458369591	4.94813237793072	0.633775327990391	7.8073919248648	5.8383501938959e-15	2.14926620686258e-12
ENSMUSG00000034528	Hsd17b13	415.399988186027	5.53965659896055	0.710420107906884	7.79771931749241	6.30360222346941e-15	2.24802214294478e-12
ENSMUSG00000030219	Erp27	1048.20423542705	4.76185319383412	0.611321415131057	7.78944279714668	6.73053447065315e-15	2.32754119330587e-12
ENSMUSG00000058579	Cela2a	147225.965395305	4.61973329357059	0.601621123800785	7.67880832439043	1.60575282947612e-14	5.3896621441122e-12
ENSMUSG00000059654	Reg1	39129.21799245	4.49612897064246	0.589914510309118	7.62166193926382	2.50430201277027e-14	7.72407961344171e-12
ENSMUSG00000040205	Cuzd1	4103.78603033952	4.66843013566833	0.61231777735494	7.62419499860805	2.45561930963594e-14	7.72407961344171e-12
ENSMUSG00000022315	Slc30a8	954.98532125975	-4.97882458251194	0.65281521891959	-7.62669808885874	2.40842735425031e-14	7.72407961344171e-12
ENSMUSG00000054446	Cpa1	115527.534558505	4.5409424795562	0.599178241547226	7.57861712039204	3.49257534493779e-14	1.04887552201132e-11
ENSMUSG00000066512	Klk1b5	346.603843643941	5.35080027415547	0.706778416002652	7.57068998289189	3.7124706041785e-14	1.086326013715e-11
ENSMUSG00000034139	Serpini2	1257.98489779206	4.68146532285556	0.635726824781214	7.36395750559478	1.78536549524255e-13	5.093647757927e-11
ENSMUSG00000026818	Cel	96628.1127753988	4.41226399648549	0.600143367689787	7.35201659141916	1.95238565261859e-13	5.43429879699595e-11
ENSMUSG00000017007	Rbpjl	829.358837699871	4.69844116169599	0.654022935837925	7.18390885738037	6.7746035684965e-13	1.84075656961148e-10
ENSMUSG00000059014	Gm5409	234.84605093776	6.04134918880436	0.842867415629379	7.16761506825271	7.63155174823156e-13	2.02537833839113e-10
ENSMUSG00000037278	Tmem97	951.131034069559	4.25574893360494	0.599171305470677	7.10272487141529	1.22320768363124e-12	3.17255592854538e-10
ENSMUSG00000024907	Gal	332.051921714671	6.37234068652225	0.901085848774034	7.07184636757096	1.52885634189744e-12	3.87717968305191e-10
ENSMUSG00000024028	Tff2	2634.51026737477	4.00490686883771	0.56794500712992	7.05157509716705	1.76903707899351e-12	4.38875024901608e-10
ENSMUSG00000031919	Tmed6	690.483466007518	4.49195930869445	0.647058351534286	6.9421239955303	3.86247952483467e-12	9.37842900796027e-10
ENSMUSG00000030954	Gp2	9204.95651266751	4.29416812589343	0.620422381999507	6.9213623661579	4.47320612271282e-12	1.06350475567497e-09
ENSMUSG00000031255	Sytl4	468.726092084673	-4.56676708352657	0.661840955307996	-6.90009744320125	5.1966880615756e-12	1.21029804405512e-09
ENSMUSG00000026163	Sphkap	888.703058909267	-4.89084265661636	0.725304829764857	-6.74315467911881	1.54984057162145e-11	3.5373561206688e-09
ENSMUSG00000084899	Gm15344	141.287269134096	-5.37979346595646	0.800467307109611	-6.72081597608556	1.80709703502677e-11	4.04364536543636e-09
