Contrast	PearsonR	SpearmanR
High_Assay22_Assay23	0.8441917045757424	0.8044955936788185
High_Assay22_Assay24	0.7331574356532943	0.7410437059890667
High_Assay23_Assay24	0.6842890488321338	0.6984740571904058
Middle_Assay22_Assay23	0.8077797237600932	0.7621321773924111
Middle_Assay22_Assay24	0.7901874671700316	0.7665286779282718
Middle_Assay23_Assay24	0.8114128927875267	0.8030797647742929
Low_Assay22_Assay23	0.8051110704454965	0.7973300192891033
Low_Assay22_Assay24	0.7261076725607898	0.7341517376680664
Low_Assay23_Assay24	0.7527661976200148	0.745667857068976
Unsorted_Assay22_Assay23	0.8174652605798995	0.7962905607401327
Unsorted_Assay22_Assay24	0.6873415092159928	0.7116826205051637
Unsorted_Assay23_Assay24	0.8796861928862828	0.8669716966865334
