MinCounts	Bin	NumAssays	NumVariants
0	Low	1Assays	2380
0	Low	2Assays	294
0	Low	3Assays	9
0	Middle	1Assays	2173
0	Middle	2Assays	265
0	Middle	3Assays	6
0	High	1Assays	2616
0	High	2Assays	433
0	High	3Assays	17
20	Low	1Assays	2900
20	Low	2Assays	269
20	Low	3Assays	6
20	Middle	1Assays	2635
20	Middle	2Assays	269
20	Middle	3Assays	8
20	High	1Assays	3228
20	High	2Assays	434
20	High	3Assays	28
100	Low	1Assays	3026
100	Low	2Assays	288
100	Low	3Assays	7
100	Middle	1Assays	2756
100	Middle	2Assays	290
100	Middle	3Assays	8
100	High	1Assays	3385
100	High	2Assays	454
100	High	3Assays	30
0	Assay22	1Assays	2267
0	Assay22	2Assays	322
0	Assay22	3Assays	14
0	Assay23	1Assays	3013
0	Assay23	2Assays	748
0	Assay23	3Assays	64
0	Assay24	1Assays	1791
0	Assay24	2Assays	193
0	Assay24	3Assays	9
20	Assay22	1Assays	2925
20	Assay22	2Assays	338
20	Assay22	3Assays	9
20	Assay23	1Assays	3644
20	Assay23	2Assays	1228
20	Assay23	3Assays	174
20	Assay24	1Assays	2142
20	Assay24	2Assays	183
20	Assay24	3Assays	5
100	Assay22	1Assays	3032
100	Assay22	2Assays	348
100	Assay22	3Assays	8
100	Assay23	1Assays	3793
100	Assay23	2Assays	1225
100	Assay23	3Assays	177
100	Assay24	1Assays	2283
100	Assay24	2Assays	188
100	Assay24	3Assays	6
