	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
ZBTB7A_258	1044.83775749056	1045.792	1.87312322381207	0.187531510390408	218182	40916	0.351269627308827	27449	9642	ZBTB7A_258
WT1_266	944.749657490561	945.7039	1.73732952333194	0.221544398713001	218182	48337	0.384895624612918	27449	10565	WT1_266
ZNF148_222	839.018557490561	839.9728	1.55001215978546	0.302353081372432	218182	65968	0.468650952675872	27449	12864	ZNF148_222
SP1_267	837.566457490561	838.5207	1.58561878434626	0.27849226792311	218182	60762	0.441582571314073	27449	12121	SP1_267
SP2_232	835.716757490561	836.671	1.5774055333581	0.283268097276586	218182	61804	0.446828664067908	27449	12265	SP2_232
ZFX_158	712.220557490561	713.1748	1.70755209909421	0.189969841691799	218182	41448	0.324383401945426	27449	8904	ZFX_158
KLF15_223	698.756757490561	699.711	1.590386686784	0.242769797691835	218182	52968	0.386097854202339	27449	10598	KLF15_223
MAZ_178	681.138857490561	682.0931	1.43549306252446	0.353603871996773	218182	77150	0.507595905133156	27449	13933	MAZ_178
EGR1_195	664.281057490561	665.2353	1.8689260605764	0.131110724074397	218182	28606	0.245036249043681	27449	6726	EGR1_195
KLF6_165	648.351257490561	649.3055	1.8576347199007	0.131142807380994	218182	28613	0.243615432256184	27449	6687	KLF6_165
DNMT1_301	622.825257490561	623.7795	2.01299697561441	0.0969328358893034	218182	21149	0.195125505482896	27449	5356	DNMT1_301
KLF5_175	612.558357490561	613.5126	1.54270558090262	0.248242293131422	218182	54162	0.38296477102991	27449	10512	KLF5_175
SMAD5_866	588.487957490561	589.4422	2.07864374571804	0.0831278473934605	218182	18137	0.17279318007942	27449	4743	SMAD5_866
CTCFL_198	582.513657490561	583.4679	1.64734312657553	0.18539109550742	218182	40449	0.305402746912456	27449	8383	CTCFL_198
KLF16_205	558.169957490561	559.1242	1.63435528066056	0.18481359598867	218182	40323	0.302051076541951	27449	8291	KLF16_205
PURA_813	524.706657490561	525.6609	1.50425150797108	0.246014794987671	218182	53676	0.3700681263434	27449	10158	PURA_813
ZNF263_159	515.013757490561	515.968	1.39947691317123	0.330476391269674	218182	72104	0.462494079930052	27449	12695	ZNF263_159
PATZ1_172	497.472557490561	498.4268	1.6201937231195	0.174579021184149	218182	38090	0.282851834310904	27449	7764	PATZ1_172
TFAP2D_2	494.645057490561	495.5993	1.64313837196887	0.164381113015739	218182	35865	0.270100914423112	27449	7414	TFAP2D_2
MBD2_644	490.907457490561	491.8617	2.09191170622281	0.0691211923990063	218182	15081	0.14459543152756	27449	3969	MBD2_644
KLF4_208	472.021557490561	472.9758	1.50394646211043	0.227896893419255	218182	49723	0.342744726583846	27449	9408	KLF4_208
SP3_247	450.894357490561	451.8486	1.55200908165601	0.192600672832773	218182	42022	0.298917993369522	27449	8205	SP3_247
MECP2_645	387.462957490561	388.4172	1.9763228985028	0.0672466106278245	218182	14672	0.132901016430471	27449	3648	MECP2_645
PLAG1_264	352.495157490561	353.4494	1.6007350766168	0.138329468058777	218182	30181	0.221428831651426	27449	6078	PLAG1_264
PLAGL1_190	352.447257490561	353.4015	1.77067602301309	0.0919690900257583	218182	20066	0.162847462566942	27449	4470	PLAGL1_190
ZNF740_209	337.318357490561	338.2726	1.61359803608935	0.128805309328909	218182	28103	0.207839994171008	27449	5705	ZNF740_209
SP8_226	336.280157490561	337.2344	1.55658587327865	0.150163624863646	218182	32763	0.233742577143065	27449	6416	SP8_226
SP7_241	336.280157490561	337.2344	1.55658587327865	0.150163624863646	218182	32763	0.233742577143065	27449	6416	SP7_241
SP9_283	336.280157490561	337.2344	1.55658587327865	0.150163624863646	218182	32763	0.233742577143065	27449	6416	SP9_283
SP4_180	328.074457490561	329.0287	1.64864508944156	0.114885737595219	218182	25066	0.189405807133229	27449	5199	SP4_180
E2F6_317	317.195657490561	318.1499	1.63934356944084	0.114248654792788	218182	24927	0.187292797551823	27449	5141	E2F6_317
SP6_275	311.299357490561	312.2536	1.61568460043778	0.11957448368793	218182	26089	0.193194651899887	27449	5303	SP6_275
SP5_279	311.299357490561	312.2536	1.61568460043778	0.11957448368793	218182	26089	0.193194651899887	27449	5303	SP5_279
ZNF219_229	309.986157490561	310.9404	1.53247340810785	0.150553207872327	218182	32848	0.230718787569675	27449	6333	ZNF219_229
ZFY_166	307.059957490561	308.0142	1.49423261576424	0.167937776718519	218182	36641	0.250938103391745	27449	6888	ZFY_166
ZFP161_850	289.736257490561	290.6905	2.14393437123915	0.0389812175156521	218182	8505	0.0835731720645561	27449	2294	ZFP161_850
ZNF281_221	281.839757490561	282.794	1.51192792954676	0.148069043275797	218182	32306	0.223869722029946	27449	6145	ZNF281_221
KLF7_189	276.596257490561	277.5505	1.58985223091327	0.115811570157025	218182	25268	0.184123283179715	27449	5054	KLF7_189
ZIC5_210	257.685057490561	258.6393	1.74969255813852	0.0726045228295643	218182	15841	0.127035593282087	27449	3487	ZIC5_210
KLF14_251	250.776857490561	251.7311	1.63724030916143	0.0933899221750649	218182	20376	0.152901745054465	27449	4197	KLF14_251
KLF11_847	250.776857490561	251.7311	1.63724030916143	0.0933899221750649	218182	20376	0.152901745054465	27449	4197	KLF11_847
E2F4_318	245.208057490561	246.1623	1.79222533950201	0.0630757807701827	218182	13762	0.113046012605195	27449	3103	E2F4_318
CTCF_177	241.566757490561	242.521	1.39781809604351	0.193595255337287	218182	42239	0.270610951218624	27449	7428	CTCF_177
ZIC4_252	231.135957490561	232.0902	1.66568602497937	0.0805749328542226	218182	17580	0.13421253961893	27449	3684	ZIC4_252
NR0B1_811	224.610257490561	225.5645	1.60127839793189	0.0933486722094398	218182	20367	0.149477212284601	27449	4103	NR0B1_811
GLIS2_201	206.281457490561	207.2357	1.83429969425816	0.0490370424691313	218182	10699	0.089948632008452	27449	2469	GLIS2_201
EGR2_196	202.935757490561	203.89	1.71370116227323	0.0634149471542107	218182	13836	0.108674268643666	27449	2983	EGR2_196
KLF2_846	192.035757490561	192.99	1.46545876833636	0.124771979356684	218182	27223	0.182848191190936	27449	5019	KLF2_846
KLF1_179	168.075657490561	169.0299	1.36201342273861	0.167442777131019	218182	36533	0.228059309993078	27449	6260	KLF1_179
INSM1_248	152.365157490561	153.3194	1.45945307364061	0.104142413214656	218182	22722	0.151990965062479	27449	4172	INSM1_248
ARNT2_76	146.300257490561	147.2545	1.50961215916447	0.084127013227489	218182	18355	0.126999162082407	27449	3486	ARNT2_76
TFAP2B_1	141.967557490561	142.9218	1.54233107829441	0.0734845220962316	218182	16033	0.11333746220263	27449	3111	TFAP2B_1
RREB1_200	133.068157490561	134.0224	1.3001756723641	0.185886095094921	218182	40557	0.241684578673176	27449	6634	RREB1_200
LMO2_808	132.328557490561	133.2828	1.35304003865997	0.142839464300446	218182	31165	0.193267514299246	27449	5305	LMO2_808
EGR4_207	129.616657490561	130.5709	1.54577937604346	0.0668157776535186	218182	14578	0.103282451091114	27449	2835	EGR4_207
TFAP2C_3	129.306057490561	130.2603	1.33827770461576	0.150159041534132	218182	32762	0.2009544974316	27449	5516	TFAP2C_3
SPZ1_810	128.664457490561	129.6187	1.45274533387963	0.0918086734927721	218182	20031	0.133374622026303	27449	3661	SPZ1_810
TFAP2A_5	118.310357490561	119.2646	1.46764178997283	0.0804511829573475	218182	17553	0.118073518160953	27449	3241	TFAP2A_5
NEUROD1_63	115.907457490561	116.8617	1.34497968888476	0.132508639576134	218182	28911	0.178221428831651	27449	4892	NEUROD1_63
TCF12_56	98.2480574905607	99.2023	1.27197000653723	0.169729858558451	218182	37032	0.215891289300157	27449	5926	TCF12_56
